小任(新手版)	10	400	0	1
小卷(新手版)	15	450	0	2
小权	70	1300	1	3
小梁(不卷版)	78	1300	1	4
小豪(拒绝校园暴力版)	130	4200	2	5
小阳(独自跑步版)	140	4200	2	6
小豪(练习时长两年半) 	130	20000	3	7
鬼斗	330	8500	3	8
小明	600	12000	4	9
小梦	650	20000	4	10
小鸟	1300	28000	5	11
老k	1100	34000	5	12
小旺(初级版)	2200	60000	6	13
小奇	2500	65000	6	14
小任(红发版)	4420	150000	7	15
小卷(学姐版)	5000	150000	7	16
小黑龙	8000	250000	8	17
小彭	9000	180000	8	18
小豪(校园暴力)	18000	250000	9	19
小振	20000	400000	9	20
小阳(带妹跑步版)	21000	450000	9	21
小张张	25000	400000	9	22
小陈	24000	500000	9	23
小√	26000	420000	9	24
小嘉	25000	550000	9	25
小发	27000	450000	9	26
小梁(地下室七天乐)	35000	500000	9	28
小虎	28000	510000	9	29
小航	180000	2490000	10	30
小因	179000	2200000	10	31
小权(终极版)	185000	2550000	10	32
小7	180000	2510000	10	33
小旺(觉醒版)	251000	3000000	10	34
小任(长发学姐)	350000	4000000	10	35
小卷(终成眷属)	350000	4500000	10	36
小阳(学姐车后座版)	500000	6000000	10	37
老k	600000	6000000	10	38
小鹏(小鸟进化)	650000	7000000	10	39
小旺(最终版)	1000000	10000000	10	40
小样(设计版)	1500000	20000000	11	41
幕后黑手	3000000	40000000	11	42
小43	90000000	2111111111111	11	43
小权(验课设版)	2147483647	999999999999	11	44
cs	99999999	9999999	11	45
css	55555555	555555555	11	46
11	888888	999999	11	50
